url,product_id,title,price,scraped,rating,timestamp
https://www.amazon.in/MJSXJ02CM-1080P-Security-Camera-White/dp/B07HJD1KH4/ref=zg_bs_electronics_50?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B07HJD1KH4,"MI Wi-Fi 1080p Full HD 360° Viewing Area Smart Security Camera, White","₹2,999.00",1,"23,514 ratings",2021-09-25 19:09:21.054277
https://www.amazon.in/Redmi-9A-Midnight-2GB-32GB/dp/B08697N43G/ref=zg_bs_electronics_24?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08697N43G,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","₹6,999.00",1,"19,466 ratings",2021-09-25 19:09:29.449140
https://www.amazon.in/Samsung-Plus-microSDXC-Adapter-MB-MC64HA/dp/B08D1J84FY/ref=zg_bs_electronics_31?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08D1J84FY,Samsung EVO Plus 64GB microSDXC UHS-I 100MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64HA),₹633.00,1,"91,359 ratings",2021-09-25 19:09:34.626336
https://www.amazon.in/OnePlus-Nord-Blue-128GB-Storage/dp/B097RD2JX8/ref=zg_bs_electronics_3?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B097RD2JX8,"OnePlus Nord 2 5G (Blue Haze, 8GB RAM, 128GB Storage)",,1,"27,187 ratings",2021-09-25 19:09:42.578609
https://www.amazon.in/Apple-USB-C-Adapter-iPhone-AirPods/dp/B08L5WWFCY/ref=zg_bs_electronics_15?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08L5WWFCY,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)","₹1,800.00",1,"16,106 ratings",2021-09-25 19:09:47.175562
https://www.amazon.in/OnePlus-Nord-Charcoal-128GB-Storage/dp/B09576CYNP/ref=zg_bs_electronics_26?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B09576CYNP,"OnePlus Nord CE 5G (Charcoal Ink, 8GB RAM, 128GB Storage)",,1,"48,364 ratings",2021-09-25 19:09:55.439267
https://www.amazon.in/Test-Exclusive_2020_1159-Multi-3GB-Storage/dp/B089MVC43X/ref=zg_bs_electronics_6?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B089MVC43X,"Redmi Note 10 Pro Max (Dark Night, 8GB RAM, 128GB Storage) -108MP Quad Camera | 120Hz Super Amoled Display","₹21,999.00",1,"25,991 ratings",2021-09-25 19:10:03.727583
https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=zg_bs_electronics_9?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B086978F2L,Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"₹6,999.00",1,"81,932 ratings",2021-09-25 19:10:14.842669
https://www.amazon.in/Boult-Audio-Wireless-Earphones-Bluetooth/dp/B08D12DNTQ/ref=zg_bs_electronics_40?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08D12DNTQ,"Boult Audio AirBass Propods True Wireless in-Ear Earphones with 24H Total Playtime, Touch Controls, Type-C Fast Charging, IPX5 Sweatproof, Low Latency for Gaming (Black)",,1,"8,716 ratings",2021-09-25 19:10:20.607049
https://www.amazon.in/OFIXO-Multi-Purpose-Foldable-Portable-Writing/dp/B08HQL67D6/ref=zg_bs_electronics_18?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08HQL67D6,OFIXO Multi-Purpose Laptop Table/Study Table/Bed Table/Foldable and Portable Wooden/Writing Desk (Wooden),₹500.00,1,"8,192 ratings",2021-09-25 19:10:26.102347
