Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
252,Cast Away,429632142,233632142,196000000,2000.csv,2000,0.5437957712204875,0.4562042287795125
253,Rampage,428028233,101028233,327000000,2018.csv,2018,0.2360317035441912,0.7639682964558088
254,The Matrix Revolutions,427343298,139313948,288029350,2003.csv,2003,0.32600007687496246,0.6739999231250375
255,The Intouchables,426588510,10198820,416389690,2011.csv,2011,0.023907863810021513,0.9760921361899785
256,Bad Boys for Life,426505244,206305244,220200000,2020.csv,2020,0.4837109200936343,0.5162890799063657
257,Django Unchained,425368238,162805434,262562804,2012.csv,2012,0.38273998727662406,0.6172600127233759
258,The King's Speech,423999102,135453143,288545959,2010.csv,2010,0.3194656365097679,0.6805343634902321
259,"My People, My Homeland",422390820,0,422390820,2020.csv,2020,0.0,1.0
260,The Chronicles of Narnia: Prince Caspian,419665568,141621490,278044078,2008.csv,2008,0.33746273413595845,0.6625372658640415
261,Sex and the City,418765321,152647258,266118063,2008.csv,2008,0.3645174286053166,0.6354825713946833
262,The Captain,417282021,706572,416575449,2019.csv,2019,0.0016932720904359309,0.9983067279095641
263,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,104386950,311299267,2010.csv,2010,0.25111958427045944,0.7488804157295406
264,Jason Bourne,415484914,162434410,253050504,2016.csv,2016,0.39095140287091146,0.6090485971290885
265,The Wolverine,414828246,132556852,282271394,2013.csv,2013,0.3195463502743253,0.6804536497256747
266,Kingsman: The Secret Service,414351546,128261724,286089822,2015.csv,2015,0.3095480763573644,0.6904519236426355
267,Night at the Museum: Battle of the Smithsonian,413106170,177243721,235862449,2009.csv,2009,0.4290512557582957,0.5709487442417043
